,0,1,2,3,4
87,87	19790101	197901	1979	1979.0027	CHL	CHILE	CHL								ITA	ITALIAN	ITA								1	046	046	04	1	7	8	1	8	7.40740740740741	1	Chile	CI	CI	-30	-71	0	1	Italy	IT	IT	42.8333	12.8333	0	4	Budapest, Budapest, Hungary	HU	HU05	47.5	19.0833	-850558	20130203,,
88,88	19790101	197901	1979	1979.0027	CHLGOVLAB	CHILE	CHL					GOV	LAB		CHL	CHILEAN	CHL								1	036	036	03	1	4	1	1	1	7.25388601036269	1	Chile	CI	CI	-30	-71	0	1	Chile	CI	CI	-30	-71	0	1	Chile	CI	CI	-30	-71	0	20130203,,,,
89,89	19790101	197901	1979	1979.0027	CHLGOVLAB	CHILE	CHL					GOV	LAB		CHL	CHILEAN	CHL								1	040	040	04	1	1	1	1	1	7.25388601036269	1	Chile	CI	CI	-30	-71	0	1	Chile	CI	CI	-30	-71	0	1	Chile	CI	CI	-30	-71	0	20130203,,,,
90,90	19790101	197901	1979	1979.0027	CHLGOVMIL	CHILE	CHL					GOV	MIL		GOV	JUNTA						GOV			1	036	036	03	1	4	9	1	9	5.66318926974665	1	Chile	CI	CI	-30	-71	0	1	Chile	CI	CI	-30	-71	0	1	Chile	CI	CI	-30	-71	0	20130203,,,,
91,91	19790101	197901	1979	1979.0027	CHN	CHINESE	CHN																		1	010	010	01	1	0	2	1	2	10.355486862442	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541					0	0	0	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20130203
92,92	19790101	197901	1979	1979.0027	CHN	CHINESE	CHN																		1	010	010	01	1	0	4	1	4	10.355486862442	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
93,93	19790101	197901	1979	1979.0027	CHN	CHINA	CHN																		1	042	042	04	1	1.9	2	1	2	7.73943889068043	4	Changgong, Hunan, China	CH	CH11	29.0811	109.892	10466659					0	0	0	4	Changgong, Hunan, China	CH	CH11	29.0811	109.892	10466659	20130203
94,94	19790101	197901	1979	1979.0027	CHN	CHINA	CHN																		0	110	110	11	3	-2	3	1	3	6.61921708185053	4	Peng Chen, Fujian, China	CH	CH07	25.9383	119.651	444859					0	0	0	4	Peng Chen, Fujian, China	CH	CH07	25.9383	119.651	444859	20130203
95,95	19790101	197901	1979	1979.0027	CHN	CHINA	CHN																		1	154	154	15	4	-7.2	2	1	2	3.30073349633252	4	Neak Luong, Prey Vê, Cambodia	CB	CB14	11.2756	105.283	-1028941					0	0	0	4	Mekong River, Vietnam (general), Vietnam
96,96	19790101	197901	1979	1979.0027	CHN	CHINA	CHN																		1	154	154	15	4	-7.2	6	1	6	3.30073349633252	4	Mekong River, Vietnam (general), Vietnam, Republic Of	VM	VM00	10.25	105.917	-3721425					0	0	0	4	Mekong River, Vietnam (general)
97,97	19790101	197901	1979	1979.0027	CHN	CHINA	CHN																		1	154	154	15	4	-7.2	1	1	1	3.30073349633252	1	Russia	RS	RS	60	100	0					0	0	0	4	Mekong River, Vietnam (general), Vietnam, Republic Of	VM	VM00	10.25	105.917	-3721425	20130203,
98,98	19790101	197901	1979	1979.0027	CHN	CHINESE	CHN																		1	180	180	18	4	-9	2	1	2	2.08333333333333	4	Cao Bang, Fujian, China	CH	CH07	26.5768	117.742	10808006					0	0	0	4	Dam Thuy, Qu?ng Ninh, Vietnam
99,99	19790101	197901	1979	1979.0027	CHN	CHINESE	CHN								CHNGOV	CHINESE	CHN					GOV			1	051	051	05	1	3.4	5	1	5	6.61921708185053	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peking
